ID,Language,Subscription Type,Subscription Event Type,Purchase Store,Puchase Amounts,Subscription Start Date,Subscription Expiration,Duration,Demo User,Free Trial User,Auto Renew,Country,User Type,Lead Platform (App = 0),Email Subscriber,Push Notifications,Send Count,Open Count,Click Count,Unique Open Count,Unique Click Count,App Start,App Other,App Completed,App NULL,App Onboarding,App Launch Times
48,FAR,0,1,0,#VALUE!,3/28/2020,6/4/2020,68,0,1,0,Europe,1,0,0,1,3,3,1,2,1,3,6,0,0,0,10
51,FRA,0,0,1,0,12/12/2018,6/12/2019,182,0,0,0,US/Canada,1,1,1,1,17,0,0,0,0,0,0,2,0,0,9
52,DEU,0,1,1,50.63,12/19/2019,6/19/2020,183,0,0,1,Europe,1,1,0,1,6,6,0,2,0,15,19,6,0,0,23
53,ENG,0,1,0,#VALUE!,3/20/2020,4/29/2020,40,0,1,1,Other,1,0,0,1,3,3,3,1,1,80,79,97,0,0,113
54,POR,0,0,0,#VALUE!,7/21/2019,10/21/2019,92,1,0,0,US/Canada,1,0,1,1,81,0,0,0,0,30,3,21,0,0,30
56,ESP,0,1,0,#VALUE!,3/22/2020,1/11/2021,295,0,1,1,US/Canada,1,0,1,1,10,0,0,0,0,12,22,17,0,0,32
57,GRK,0,1,0,#VALUE!,9/6/2019,6/6/2020,274,1,0,1,Europe,1,0,0,1,0,0,0,0,0,13,15,8,0,0,15
59,ESP,0,1,0,#VALUE!,10/2/2019,10/9/2020,373,0,1,1,US/Canada,1,1,1,1,1,0,0,0,0,54,55,38,0,0,65
62,ENG,0,0,0,40.18,1/22/2020,7/21/2020,181,0,1,1,Other,1,0,1,1,0,0,0,0,0,2,3,0,0,0,4
64,ESP,0,0,0,#VALUE!,11/10/2019,2/10/2020,92,1,0,0,US/Canada,1,0,1,1,14,0,0,0,0,7,9,9,0,0,10
65,ENG,0,0,1,65.94,8/24/2019,2/24/2020,184,0,0,1,US/Canada,1,1,1,1,38,3,0,3,0,51,59,31,0,0,97
66,ARA,0,1,0,#VALUE!,10/13/2019,7/13/2020,274,1,0,1,Europe,1,0,0,1,0,0,0,0,0,18,21,18,0,0,25
67,JPN,0,0,1,15.33,4/23/2019,4/23/2021,731,1,0,1,Europe,1,0,0,1,0,0,0,0,0,10,17,15,0,0,46
68,ESP,0,1,0,#VALUE!,11/6/2019,11/9/2020,369,0,1,0,US/Canada,1,0,1,1,4,1,0,1,0,21,68,82,0,0,68
69,ESC,0,1,1,60.76,9/11/2019,6/11/2020,274,0,0,1,US/Canada,1,1,1,1,4,1,0,1,0,27,29,18,0,0,25
70,FRA,0,0,1,43.12,2/26/2020,5/26/2020,90,1,0,0,Europe,1,0,0,1,4,0,0,0,0,17,19,30,0,0,24
71,ESP,0,0,1,34.64,12/3/2019,3/3/2020,91,0,0,0,Other,0,1,0,0,10,0,0,0,0,0,0,0,1,0,0
72,ESP,0,0,0,#VALUE!,3/22/2020,1/25/2021,309,1,0,1,US/Canada,1,0,1,1,14,13,3,4,1,13,23,16,0,0,23
73,ARA,0,1,0,#VALUE!,3/25/2020,6/11/2020,78,0,1,1,Other,1,0,1,1,2,2,0,2,0,21,22,23,0,0,40
74,POR,0,1,0,#VALUE!,8/16/2019,5/16/2020,274,1,0,1,US/Canada,1,0,1,1,1,0,0,0,0,5,7,1,0,0,6
75,ESP,0,1,0,#VALUE!,12/20/2018,6/20/2019,182,0,0,0,US/Canada,1,1,1,1,17,0,0,0,0,2,6,39,0,0,41
76,ARA,0,0,1,0,10/9/2018,1/9/2021,823,1,0,0,US/Canada,1,0,1,1,2,2,1,2,1,119,126,108,0,0,143
77,ENG,0,0,0,#VALUE!,1/26/2019,1/26/2020,365,1,0,0,US/Canada,1,0,1,1,1,0,0,0,0,2,1,6,0,0,12
78,ESP,0,0,0,#VALUE!,11/27/2019,2/27/2020,92,1,0,0,US/Canada,1,0,1,1,10,0,0,0,0,3,3,1,0,0,2
79,FRA,0,0,1,119,9/4/2019,3/7/2020,185,0,1,0,US/Canada,1,1,1,1,9,0,0,0,0,21,4,12,0,0,21
80,POL,0,0,1,54.45,3/17/2020,6/17/2020,92,0,0,1,Europe,1,1,1,1,56,9,0,7,0,3,3,9,0,0,5
81,POR,0,1,0,#VALUE!,9/5/2019,6/5/2020,274,1,0,1,Other,1,0,0,1,0,0,0,0,0,36,37,33,0,0,37
83,ESP,0,0,0,#VALUE!,10/12/2019,1/12/2020,92,1,0,0,US/Canada,1,0,1,1,15,0,0,0,0,7,8,5,0,0,9
84,RUS,0,0,1,143.76,9/27/2019,12/30/2019,94,0,1,1,US/Canada,1,1,1,1,2,0,0,0,0,11,17,14,0,0,20
85,ESP,0,0,1,0,2/8/2019,5/8/2019,89,0,0,0,Other,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
86,ESP,0,1,0,#VALUE!,12/12/2019,6/12/2020,183,1,0,1,US/Canada,1,0,1,1,3,1,0,1,0,14,16,9,0,0,22
87,CHI,0,1,1,79,6/16/2019,12/21/2019,188,0,1,0,Europe,1,0,0,1,0,0,0,0,0,12,15,3,0,0,18
88,ENG,0,1,0,#VALUE!,12/22/2019,6/22/2020,183,1,0,0,US/Canada,1,0,1,1,8,2,0,1,0,11,18,9,0,0,27
90,CHI,0,0,0,#VALUE!,3/18/2020,2/5/2021,324,1,0,1,Europe,1,0,0,1,1,0,0,0,0,4,5,4,0,0,3
92,ARA,0,1,0,#VALUE!,11/23/2018,11/26/2019,368,0,1,0,US/Canada,1,0,0,1,0,0,0,0,0,3,3,1,0,0,6
93,ESP,0,1,0,#VALUE!,6/7/2019,6/7/2020,366,1,0,1,US/Canada,1,1,1,1,3,1,0,1,0,10,9,25,0,0,36
94,ESP,0,0,1,0,5/17/2019,8/17/2019,92,1,0,0,US/Canada,1,1,1,1,17,0,0,0,0,5,4,29,0,0,42
96,GRK,0,0,1,71.63,12/18/2019,6/18/2020,183,0,0,0,US/Canada,1,1,0,1,0,0,0,0,0,9,16,11,0,0,18
97,ENG,0,1,0,#VALUE!,3/25/2020,9/8/2020,167,0,1,0,US/Canada,1,0,1,1,4,0,0,0,0,23,25,19,0,0,29
98,FRA,0,1,1,35.97,9/22/2019,6/22/2020,274,1,0,1,US/Canada,1,0,1,1,4,0,0,0,0,7,9,5,0,0,11
99,ITA,0,0,0,#VALUE!,3/19/2020,8/1/2020,135,1,0,1,US/Canada,1,0,1,1,5,4,0,3,0,210,138,228,0,0,206
102,ESP,0,1,0,#VALUE!,3/24/2020,11/8/2020,229,0,1,1,Europe,1,0,1,1,2,0,0,0,0,9,11,7,0,0,10
105,FRA,0,1,1,35.97,10/18/2019,7/21/2020,277,0,1,1,US/Canada,1,1,1,1,6,4,0,2,0,35,3,30,0,0,31
106,ENG,0,1,1,79,7/14/2019,2/8/2020,209,0,1,0,US/Canada,1,1,1,1,274,243,7,74,1,53,68,26,0,0,70
108,KOR,0,0,1,0,2/17/2019,2/17/2021,731,1,0,0,Europe,1,0,1,1,42,12,0,6,0,83,57,36,0,0,119
109,ALL,0,1,0,#VALUE!,3/29/2020,4/1/2021,368,0,1,1,US/Canada,1,0,1,1,10,10,0,1,0,3,4,2,0,0,3
110,ESP,0,0,1,143.76,6/29/2019,6/29/2021,731,0,0,0,US/Canada,0,1,1,1,0,0,0,0,0,52,2,35,0,0,52
111,ITA,0,1,0,#VALUE!,3/21/2020,2/15/2021,331,0,1,0,Other,1,0,1,1,1,0,0,0,0,2,4,3,0,0,3
112,ESP,0,1,0,#VALUE!,3/22/2020,1/4/2021,288,0,1,1,US/Canada,1,0,1,1,3,0,0,0,0,15,16,15,0,0,19
113,ESP,0,1,0,#VALUE!,3/22/2020,9/23/2020,185,0,1,1,US/Canada,1,0,1,1,4,1,0,1,0,80,89,81,0,0,84
115,FRA,0,0,1,0,10/11/2018,10/11/2019,365,0,0,0,US/Canada,1,1,0,1,54,1,1,1,1,1,3,0,0,0,1
117,ESP,0,0,1,0,10/27/2018,4/27/2019,182,0,0,0,US/Canada,1,1,0,1,0,0,0,0,0,0,4,1,0,0,2
118,FAR,0,1,0,#VALUE!,11/10/2019,4/10/2020,152,1,0,0,US/Canada,1,0,1,1,8,1,0,1,0,16,20,11,0,0,27
119,ARA,0,0,1,48.95,12/12/2019,6/16/2020,187,0,1,0,Europe,1,1,0,1,12,12,12,2,2,66,20,38,0,0,66
120,TUR,0,0,1,70.29,10/19/2018,10/31/2020,743,0,0,1,US/Canada,1,1,1,1,2,0,0,0,0,14,14,6,0,0,18
124,ESP,0,0,0,#VALUE!,5/10/2019,11/10/2019,184,1,0,0,US/Canada,1,0,0,1,0,0,0,0,0,8,5,32,0,0,39
125,ESP,0,0,1,35.97,10/25/2019,1/24/2020,91,1,0,0,US/Canada,1,0,1,1,99,2,1,2,1,3,20,13,0,0,17
127,ESP,0,0,0,#VALUE!,5/27/2019,8/27/2019,92,1,0,0,US/Canada,1,0,1,1,13,0,0,0,0,0,3,0,0,0,5
128,ESP,0,0,0,#VALUE!,3/17/2019,3/17/2020,366,1,0,0,US/Canada,1,0,1,1,6,0,0,0,0,1,4,10,0,0,20
129,DEU,0,0,1,68.53,3/24/2020,9/30/2020,190,0,1,1,Europe,1,1,0,1,13,7,5,3,2,2,1,1,0,0,1
131,ITA,0,1,0,37.77,7/18/2019,4/21/2020,278,0,0,0,US/Canada,1,1,0,1,0,0,0,0,0,53,53,39,0,0,77
132,ESP,0,1,0,#VALUE!,1/5/2019,7/5/2019,181,1,0,0,US/Canada,1,0,1,1,194,21,0,18,0,9,8,4,0,0,32
133,JPN,0,1,0,#VALUE!,10/14/2018,10/17/2019,368,0,1,0,US/Canada,1,0,1,1,63,2,0,2,0,0,2,0,0,0,2
134,ESP,0,1,0,#VALUE!,1/5/2020,7/5/2020,182,1,0,1,US/Canada,1,0,1,1,6,0,0,0,0,12,12,10,0,0,13
136,POR,0,0,0,#VALUE!,2/19/2019,2/19/2020,365,1,0,0,US/Canada,1,0,1,1,12,0,0,0,0,0,0,1,0,0,7
137,ITA,0,0,1,58.74,10/30/2019,4/30/2020,183,1,0,1,Europe,1,0,0,1,4,4,0,1,0,9,11,5,0,0,9
138,EBR,0,0,1,110.36,10/18/2019,10/18/2020,366,1,0,1,Europe,1,1,0,1,0,0,0,0,0,71,86,39,0,0,101
139,ENG,0,0,0,#VALUE!,2/14/2020,5/14/2020,90,1,0,1,Other,1,0,1,1,0,0,0,0,0,6,6,5,0,0,6
140,JPN,0,1,0,#VALUE!,3/22/2020,9/8/2020,170,0,1,1,US/Canada,1,0,1,1,5,1,1,1,1,97,75,105,0,0,125
141,ESP,0,0,1,0,11/25/2018,2/25/2020,457,0,0,0,US/Canada,1,1,1,1,9,9,0,2,0,1,2,0,0,0,40
142,ALL,0,0,0,#VALUE!,3/16/2020,3/16/2021,365,1,0,0,US/Canada,1,0,1,1,15,1,0,1,0,4,5,1,0,0,5
145,ENG,0,0,1,0,4/25/2019,5/27/2019,32,1,0,0,US/Canada,1,0,1,1,0,0,0,0,0,0,0,4,0,0,0
147,ALL,0,0,1,262.9,3/22/2020,3/22/2022,730,0,1,1,Europe,1,1,1,1,13,1,1,1,1,5,6,13,0,0,14
148,ESP,0,1,0,#VALUE!,3/31/2020,5/21/2020,51,1,0,1,US/Canada,1,0,1,1,5,0,0,0,0,10,12,7,0,0,20
149,ESP,0,0,0,#VALUE!,3/26/2020,12/11/2020,260,1,0,0,US/Canada,1,0,1,1,8,6,0,3,0,4,5,6,0,0,21
150,JPN,0,1,1,79,7/20/2019,4/20/2020,275,1,0,0,US/Canada,1,0,0,1,10,9,4,2,1,19,13,12,0,0,21
151,ESP,0,0,0,#VALUE!,3/22/2020,8/25/2020,156,1,0,1,US/Canada,1,0,1,1,6,0,0,0,0,53,55,40,0,0,54
152,NED,0,0,1,0,12/11/2018,3/11/2020,456,1,0,0,Europe,1,1,1,1,34,13,4,6,1,19,16,12,0,0,39
153,ENG,0,0,1,39,8/26/2019,11/29/2019,95,0,1,1,US/Canada,1,1,1,1,78,0,0,0,0,7,9,6,0,0,10
154,FRA,0,0,1,38.13,9/19/2019,12/19/2019,91,0,0,0,Other,0,1,0,0,51,2,0,2,0,0,0,0,1,0,0
155,CHI,0,0,0,#VALUE!,12/30/2019,6/30/2020,183,1,0,1,US/Canada,1,0,1,1,3,0,0,0,0,3,7,10,0,0,23
